ID,Sex,Occasion1,Occasion2,Occasion3,Occasion4,Occasion5,Occasion6,Occasion7
236,Female,1,0,0,0,0,0,0
237,Male,1,0,0,0,0,0,0
238,Male,1,0,0,0,0,0,0
239,Male,1,0,0,0,0,0,0
240,Male,1,0,0,0,0,0,0
241,Male,1,0,0,0,0,0,0
242,Female,1,0,1,0,0,0,0
243,Male,1,0,1,0,0,0,0
244,Female,1,1,0,0,0,0,0
245,Female,1,1,0,0,0,0,0
246,Male,1,1,0,0,0,0,0
247,Male,1,1,0,0,0,0,0
248,Male,1,1,0,0,0,0,0
249,Male,1,1,0,0,0,0,0
250,Female,1,1,0,1,1,1,0
251,Female,1,1,1,1,0,0,0
252,Male,1,1,1,1,0,0,0
253,Female,1,1,1,1,1,0,0
254,Male,1,1,1,1,1,1,0
